data,ug_mean,ug_max,ug_min,pollutionPM,ug_max2,
11/10/2016,37.45833333,58.1,22.7,57,58.1,58.1
11/11/2016,36.73333333,55.8,19.7,39.7,55.8,55.8
11/12/2016,30.5125,47.5,19.5,43.7,47.5,47.5
11/13/2016,39.26666667,67.3,22.1,43.1,67.3,67.3
11/14/2016,32.94166667,41.8,18.2,53.5,41.8,41.8
11/15/2016,26.20833333,42.3,9.4,72.7,42.3,42.3
11/16/2016,37.3,57.6,23.9,35.6,57.6,57.6
11/17/2016,28.95416667,52.2,19.4,36.4,52.2,52.2
11/18/2016,23.6625,64.1,14.8,49.8,64.1,64.1
11/19/2016,28.7375,40.2,19,49.7,40.2,40.2
11/20/2016,42.25833333,68.6,24.8,24.7,68.6,68.6
11/21/2016,39.84166667,65.6,27.8,35.4,65.6,65.6
11/22/2016,44.9625,72.8,27.9,34.2,72.8,72.8
11/23/2016,27.84166667,38.3,14.9,57.1,38.3,38.3
11/24/2016,29.39166667,51.2,11.6,81.5,51.2,51.2
11/25/2016,47.91666667,100.2,31,62.7,100.2,100.2
11/26/2016,32.2375,58.7,24.2,60.4,58.7,58.7
11/27/2016,32.98333333,46.3,23,25.7,46.3,46.3
11/28/2016,24.525,35.4,11.2,35.5,35.4,35.4
11/29/2016,17.425,32.5,9.4,34.4,32.5,32.5
11/30/2016,29.80833333,55.4,18.8,43.8,55.4,55.4
12/1/2016,41.09583333,76.7,24.6,33.7,76.7,76.7
12/2/2016,43.89583333,123.7,22.8,26.9,123.7,123.7
12/3/2016,68.28333333,106.3,45.1,16.2,106.3,106.3
12/4/2016,70.41666667,101.1,40.2,31.2,101.1,101.1
12/5/2016,66.98333333,119,43.3,61.3,119,119
12/6/2016,66.70833333,171.5,25.7,44.2,171.5,171.5
12/7/2016,44.85416667,75.8,26.8,49.2,75.8,75.8
12/8/2016,63.23333333,148.4,25.2,29.8,148.4,148.4
12/9/2016,86.12083333,200,42.3,33.4,200,200
12/10/2016,39.50416667,63.4,27.8,31.8,63.4,63.4
12/11/2016,24.52916667,36.8,15.4,25.5,36.8,36.8
12/12/2016,49.49166667,92.5,16.9,30.3,92.5,92.5
12/13/2016,50.31666667,91.2,32.9,139.5,91.2,91.2
12/14/2016,72.4625,162.3,29.4,44,162.3,162.3
12/15/2016,44.27916667,196.6,17.2,26.8,196.6,196.6
12/16/2016,37.57916667,74.4,16.3,84.9,74.4,74.4
12/17/2016,56.725,180.8,20.7,78.5,180.8,180.8
12/18/2016,47.49166667,87.8,30.5,54.4,87.8,87.8
12/19/2016,22.375,38,13.9,52.6,38,38
12/20/2016,39.025,121.8,11.8,45.2,121.8,121.8
12/21/2016,51.02083333,168.2,18.9,59.6,168.2,168.2
12/22/2016,99.86666667,200,39,88.9,200,200
12/23/2016,63.05416667,129.5,29.2,54.3,129.5,129.5
12/24/2016,54.8875,97.5,32.6,37.2,97.5,97.5
12/25/2016,74.00416667,130.2,27.8,21.8,130.2,130.2
12/26/2016,51.24166667,161.6,24,17.9,161.6,161.6
12/27/2016,22.74583333,48.9,11.5,11,48.9,48.9
12/28/2016,20.35416667,36.2,8.5,26.1,36.2,36.2
12/29/2016,58.30833333,162.7,15.4,47.2,162.7,162.7
12/30/2016,78.0625,166.8,36.3,58.1,166.8,166.8
12/31/2016,79.64347826,124,52.2,54.3,124,124
